date,auction_month,auction_year,bi_rate,spread_bifd,yield10_ibpa,inflation_rate,idprod_rate,jkse_avg,idrusd_avg,foreign_reserves_log,dpk_bio_log,bnkp_mon_avg,cbbp_gross_avg,forh_avg,forh_avg_sqr,inpp_avg,othp_avg,move,incoming_mio_log,awarded_mio_log,incoming_bio_log,awarded_bio_log,number_series,number_series_sqr,bid_to_cover,bi_covid,usfdtr_policyrate,long_holiday,m2all_bio_log,m1all_bio_log,m1currency_bio_log,m1demanddeposits_bio_log,m2quasi_bio_log,m2securities_bio_log,srbi_incomingbio_log,srbi_awardedbio_log,srbi_bid_to_cover,srbi_way_incoming,srbi_way_awarded,yield01_ibpa,yield05_ibpa
2014-11-01,11,2014,7.625,7.375,7.998322928,6.23,4.71662689,5078.425391,12158.3,5.022647649,6.60795657,33.727869,0.15507726,38.104126,1451.924418,15.939598,12.0733315,67.47777727,7.355202405,6.840106094,4.355202405,3.840106094,3,9,3.274132948,0,0.25,0,6.610305545,5.980246595,5.608198638,5.740237073,6.491270674,4.338147995,0,0,0,0,0,6.827206867,7.801162883
2015-01-01,1,2015,7.75,7.5,7.59580325,6.96,5.11835822,5220.721401,12579.09524,5.034944418,6.613456801,31.86924143,2.118854762,38.78736619,1504.459776,15.74424048,11.48029667,84.41578955,8.043272659,7.583935203,5.043272659,4.583935203,15,225,2.879635084,0,0.25,0,6.62063837,5.962880285,5.592460456,5.721665543,6.509723986,4.359185831,0,0,0,0,0,6.773594475,7.35812968
2015-02-01,2,2015,7.5,7.25,7.134343251,6.29,2.41469138,5360.560598,12749.84211,5.040596288,6.618199579,29.21521053,4.361477105,39.90296789,1592.246847,15.38123842,11.13910526,93.2973681,7.98947785,7.516997846,4.98947785,4.516997846,15,225,2.968110081,0,0.25,0,6.625119215,5.967476616,5.588707777,5.732360181,6.515734072,4.054255974,0,0,0,0,0,6.294436453,6.955499822
2015-03-01,3,2015,7.5,7.25,7.373125733,6.38,7.33832095,5443.517356,13066.81818,5.025061731,6.623102122,29.27211682,4.516235591,38.83077682,1507.829228,15.31072591,12.070145,86.47727238,7.820795662,7.489466281,4.820795662,4.489466281,20,400,2.144516443,0,0.25,0,6.628016932,5.981175275,5.582068956,5.76010233,6.515277419,4.1232674,0,0,0,0,0,6.485478907,7.146141966
2015-04-01,4,2015,7.5,7.25,7.484201358,6.79,8.14399075,5398.452427,12947.7619,5.021887951,6.625067968,27.64142762,6.164174333,38.48877238,1481.385599,15.39421048,12.31141571,75.75714402,7.447863187,7.259354927,4.447863187,4.259354927,15,225,1.543505779,0,0.25,0,6.631008354,5.981989058,5.597351387,5.751040192,6.518803847,4.15017474,0,0,0,0,0,6.603312493,7.36595556
2015-05-01,5,2015,7.5,7.25,8.078595331,7.15,2.09265477,5232.375771,13140.52632,5.021796804,6.626561004,27.29701211,6.955980842,38.28867316,1466.022492,15.56954895,11.88878211,85.23749886,7.526097505,7.37051309,4.526097505,4.37051309,15,225,1.430818066,0,0.25,0,6.632292174,5.991631509,5.609059503,5.75922674,6.517611053,4.15556254,0,0,0,0,0,7.065687122,7.882420071
2015-06-01,6,2015,7.5,7.25,8.476907829,7.26,5.67613732,4967.957985,13313.2381,5.010311196,6.635458527,27.57744048,6.242394,38.82906952,1507.69664,15.47151,11.87958571,86.65863627,7.894685232,7.597097071,4.894685232,4.597097071,22,484,1.984212406,0,0.25,0,6.639367093,6.016832005,5.612479882,5.799205994,6.519255656,4.134902558,0,0,0,0,0,7.317319127,8.334184751
2015-07-01,7,2015,7.5,7.25,8.342645839,7.26,4.84698501,4856.701043,13374.78947,5.009301799,6.636369771,26.68691421,6.832190684,39.35588211,1548.885456,15.28671526,11.83829684,79.20000007,7.520450779,7.25358029,4.520450779,4.25358029,9,81,1.848717234,0,0.25,1,6.640800144,6.013640062,5.634940438,5.778473905,6.521910247,4.187355714,0,0,0,0,0,7.17384503,8.188710367
2015-08-01,8,2015,7.5,7.25,8.81890236,7.18,5.08477825,4540.916406,13781.75,4.999185543,6.640140526,30.6818205,3.6556967,38.6119165,1490.880096,15.1577145,11.892854,83.12238021,7.826599528,7.519696767,4.826599528,4.519696767,17,289,2.02722877,0,0.25,0,6.643855695,6.011284024,5.626444349,5.780476899,6.526616771,4.193529473,0,0,0,0,0,7.375975292,8.497139893
2015-09-01,9,2015,7.5,7.25,9.270510044,6.83,1.9376479,4326.606166,14396.09524,4.983174621,6.649732261,29.98383286,5.024183571,37.79155952,1428.201971,15.15354238,12.04688286,81.77142843,7.62936576,7.337459261,4.62936576,4.337459261,21,441,1.958422989,0,0.25,0,6.654042012,6.026549079,5.632315784,5.802211494,6.534830863,4.283781627,0,0,0,0,0,7.901612029,9.038949861
